TF	TG	GO_term	q-value	enrichment_fold
Zm00001d000112	Zm00001d000085	lipid biosynthetic process	4.876e-02	1.8142
Zm00001d000112	Zm00001d000120			
Zm00001d000112	Zm00001d000133			
Zm00001d000112	Zm00001d000170			
Zm00001d000112	Zm00001d000176			
Zm00001d000112	Zm00001d000178			
Zm00001d000112	Zm00001d000199			
Zm00001d000112	Zm00001d000238			
Zm00001d000112	Zm00001d000291			
Zm00001d000112	Zm00001d000316	protein homotetramerization	4.763e-02	9.83137
Zm00001d000112	Zm00001d000316	lipid biosynthetic process	4.876e-02	1.8142
Zm00001d000112	Zm00001d000399			
Zm00001d000112	Zm00001d001820			
Zm00001d000112	Zm00001d001980			
Zm00001d000112	Zm00001d002022			
Zm00001d000112	Zm00001d002069			
Zm00001d000112	Zm00001d002086			
Zm00001d000112	Zm00001d002169			
Zm00001d000112	Zm00001d002302			
Zm00001d000112	Zm00001d002377			
Zm00001d000112	Zm00001d002415			
Zm00001d000112	Zm00001d002432	response to cytokinin	7.450e-03	2.31813
Zm00001d000112	Zm00001d002454	response to cytokinin	7.450e-03	2.31813
Zm00001d000112	Zm00001d002690			
Zm00001d000112	Zm00001d002700			
Zm00001d000112	Zm00001d002703			
Zm00001d000112	Zm00001d002822			
Zm00001d000112	Zm00001d002842			
Zm00001d000112	Zm00001d002992			
Zm00001d000112	Zm00001d003009			
Zm00001d000112	Zm00001d003404			
Zm00001d000112	Zm00001d003414			
Zm00001d000112	Zm00001d003429			
Zm00001d000112	Zm00001d003459	photosynthesis, light harvesting	3.459e-02	5.29381
Zm00001d000112	Zm00001d003477	phototropism	1.266e-02	8.1363
Zm00001d000112	Zm00001d003584	lipid biosynthetic process	4.876e-02	1.8142
Zm00001d000112	Zm00001d003632			
Zm00001d000112	Zm00001d003784			
Zm00001d000112	Zm00001d003797			
Zm00001d000112	Zm00001d003800			
Zm00001d000112	Zm00001d003866			
Zm00001d000112	Zm00001d003905			
Zm00001d000112	Zm00001d003925			
Zm00001d000112	Zm00001d003927			
Zm00001d000112	Zm00001d003975			
Zm00001d000112	Zm00001d004159			
Zm00001d000112	Zm00001d004193			
Zm00001d000112	Zm00001d004259			
Zm00001d000112	Zm00001d004343			
Zm00001d000112	Zm00001d004448			
Zm00001d000112	Zm00001d004564			
Zm00001d000112	Zm00001d004568			
Zm00001d000112	Zm00001d004702			
Zm00001d000112	Zm00001d004894			
Zm00001d000112	Zm00001d004978			
Zm00001d000112	Zm00001d005051	phototropism	1.266e-02	8.1363
Zm00001d000112	Zm00001d005135	phototropism	1.266e-02	8.1363
Zm00001d000112	Zm00001d005159			
Zm00001d000112	Zm00001d005240			
Zm00001d000112	Zm00001d005532			
Zm00001d000112	Zm00001d005607			
Zm00001d000112	Zm00001d005785			
Zm00001d000112	Zm00001d005804			
Zm00001d000112	Zm00001d005823			
Zm00001d000112	Zm00001d005831	lipid biosynthetic process	4.876e-02	1.8142
Zm00001d000112	Zm00001d005871			
Zm00001d000112	Zm00001d005931	lipid biosynthetic process	4.876e-02	1.8142
Zm00001d000112	Zm00001d005996	regulation of photosynthesis, light reaction	1.880e-02	7.37353
Zm00001d000112	Zm00001d006029			
Zm00001d000112	Zm00001d006160			
Zm00001d000112	Zm00001d006183			
Zm00001d000112	Zm00001d006342			
Zm00001d000112	Zm00001d006353			
Zm00001d000112	Zm00001d006419			
Zm00001d000112	Zm00001d006454			
Zm00001d000112	Zm00001d006663	photosynthesis, light harvesting	3.459e-02	5.29381
Zm00001d000112	Zm00001d006673			
Zm00001d000112	Zm00001d006680			
Zm00001d000112	Zm00001d006726			
Zm00001d000112	Zm00001d006834			
Zm00001d000112	Zm00001d006884			
Zm00001d000112	Zm00001d006909			
Zm00001d000112	Zm00001d007082	lipid biosynthetic process	4.876e-02	1.8142
Zm00001d000112	Zm00001d007117			
Zm00001d000112	Zm00001d007316			
Zm00001d000112	Zm00001d007716			
Zm00001d000112	Zm00001d007882			
Zm00001d000112	Zm00001d008440			
Zm00001d000112	Zm00001d008468			
Zm00001d000112	Zm00001d008540			
Zm00001d000112	Zm00001d008625			
Zm00001d000112	Zm00001d008706			
Zm00001d000112	Zm00001d008791			
Zm00001d000112	Zm00001d008805	regulation of auxin polar transport	4.532e-02	7.28249
Zm00001d000112	Zm00001d008890			
Zm00001d000112	Zm00001d008962			
Zm00001d000112	Zm00001d009028	response to cytokinin	7.450e-03	2.31813
Zm00001d000112	Zm00001d009221			
Zm00001d000112	Zm00001d009661			
